soil_property,dataset,spectra,n,min,Q1,median,Q3,max
acidity_usda.a795_cmolc.kg,OSSL,MIR,30061,0,3.5,7.07,13.8,282.72
acidity_usda.a795_cmolc.kg,OSSL,NIR,1576,0.05,3.85,8.05,13.88,157
acidity_usda.a795_cmolc.kg,OSSL,VisNIR,1511,0,0.2,0.9,2.6,25.5
aggstb_usda.a1_w.pct,OSSL,MIR,3218,0,9,28,63,106
aggstb_usda.a1_w.pct,OSSL,NIR,197,0,12,40,70,100
aggstb_usda.a1_w.pct,OSSL,VisNIR,0,0,0,0,0,0
al.dith_usda.a65_w.pct,OSSL,MIR,31135,0,0.05,0.11,0.21,7.7
al.dith_usda.a65_w.pct,OSSL,NIR,1773,0,0.04,0.1,0.18,2.28
al.dith_usda.a65_w.pct,OSSL,VisNIR,0,0,0,0,0,0
al.ext_usda.a1056_mg.kg,OSSL,MIR,3773,0,418.57,746.7,1154.47,6748.01
al.ext_usda.a1056_mg.kg,OSSL,NIR,76,5.72,588.95,865.62,1040.48,2238.66
al.ext_usda.a1056_mg.kg,OSSL,VisNIR,0,0,0,0,0,0
al.ext_usda.a69_cmolc.kg,OSSL,MIR,15710,0,0.28,1.01,2.87,63.01
al.ext_usda.a69_cmolc.kg,OSSL,NIR,716,0,0.33,1.02,2.55,16.44
al.ext_usda.a69_cmolc.kg,OSSL,VisNIR,1541,0,0,0.7,2.1,25.3
al.ox_usda.a59_w.pct,OSSL,MIR,28260,0,0.06,0.12,0.24,8.8
al.ox_usda.a59_w.pct,OSSL,NIR,1354,0,0.07,0.12,0.21,4
al.ox_usda.a59_w.pct,OSSL,VisNIR,0,0,0,0,0,0
awc.33.1500kPa_usda.c80_w.frac,OSSL,MIR,16175,0,0.11,0.14,0.19,0.78
awc.33.1500kPa_usda.c80_w.frac,OSSL,NIR,931,0,0.11,0.15,0.19,0.51
awc.33.1500kPa_usda.c80_w.frac,OSSL,VisNIR,0,0,0,0,0,0
b.ext_mel3_mg.kg,OSSL,MIR,2093,0,0,0.12,0.31,55.09
b.ext_mel3_mg.kg,OSSL,NIR,0,0,0,0,0,0
b.ext_mel3_mg.kg,OSSL,VisNIR,0,0,0,0,0,0
bd_usda.a4_g.cm3,OSSL,MIR,41484,0.01,0.92,1.25,1.45,8.1
bd_usda.a4_g.cm3,OSSL,NIR,1085,0.2,1.18,1.32,1.46,2.03
bd_usda.a4_g.cm3,OSSL,VisNIR,20751,0.06,0.9,1.2,1.41,1.98
c.tot_usda.a622_w.pct,OSSL,MIR,80698,0,0.58,1.58,4.29,78.45
c.tot_usda.a622_w.pct,OSSL,NIR,1976,0.02,0.82,1.61,3,53.88
c.tot_usda.a622_w.pct,OSSL,VisNIR,19807,0.01,0.68,2.05,19.71,78.45
ca.ext_usda.a1059_mg.kg,OSSL,MIR,3773,0,325,879,2977.53,44723.96
ca.ext_usda.a1059_mg.kg,OSSL,NIR,76,38.72,524.33,2506.14,3550.48,18563.27
ca.ext_usda.a1059_mg.kg,OSSL,VisNIR,0,0,0,0,0,0
ca.ext_usda.a722_cmolc.kg,OSSL,MIR,57085,0,3,11.35,27.12,410.41
ca.ext_usda.a722_cmolc.kg,OSSL,NIR,1976,0,2.58,10.52,23.17,363.64
ca.ext_usda.a722_cmolc.kg,OSSL,VisNIR,3723,0,0.4,3.8,15.2,168.2
caco3_usda.a54_w.pct,OSSL,MIR,29225,0,0.24,1.57,10.82,101.37
caco3_usda.a54_w.pct,OSSL,NIR,665,0.01,0.29,1.91,8.23,89.03
caco3_usda.a54_w.pct,OSSL,VisNIR,51094,0,0,0.1,2.1,99.7
cec_usda.a723_cmolc.kg,OSSL,MIR,57651,0,7.78,15.33,24.66,584.59
cec_usda.a723_cmolc.kg,OSSL,NIR,1976,0.13,7.98,14.4,22.09,190.11
cec_usda.a723_cmolc.kg,OSSL,VisNIR,22687,0,6.8,12.3,20.5,234
cf_usda.c236_w.pct,OSSL,MIR,56470,0,0,0.25,7,100
cf_usda.c236_w.pct,OSSL,NIR,1969,0,0.04,1,14,93
cf_usda.c236_w.pct,OSSL,VisNIR,23237,0,6,11,20,90
clay.tot_usda.a334_w.pct,OSSL,MIR,57268,0,10.3,21.77,33.99,100
clay.tot_usda.a334_w.pct,OSSL,NIR,1976,0,8.75,17.84,27.75,76.97
clay.tot_usda.a334_w.pct,OSSL,VisNIR,27145,0,8,17.2,28,96.8
cu.ext_usda.a1063_mg.kg,OSSL,MIR,3772,0,0.45,1.2,2.66,77.82
cu.ext_usda.a1063_mg.kg,OSSL,NIR,76,0.05,0.89,1.95,3.09,10.9
cu.ext_usda.a1063_mg.kg,OSSL,VisNIR,0,0,0,0,0,0
ec_usda.a364_ds.m,OSSL,MIR,34040,0,0.1,0.25,0.87,313.13
ec_usda.a364_ds.m,OSSL,NIR,942,0.01,0.14,0.23,0.46,81.93
ec_usda.a364_ds.m,OSSL,VisNIR,21833,0,0.1,0.17,0.28,9.69
fe.dith_usda.a66_w.pct,OSSL,MIR,31138,0,0.33,0.82,1.56,28.44
fe.dith_usda.a66_w.pct,OSSL,NIR,1773,0,0.41,0.83,1.4,9.81
fe.dith_usda.a66_w.pct,OSSL,VisNIR,0,0,0,0,0,0
fe.ext_usda.a1064_mg.kg,OSSL,MIR,3773,0,59.35,94.14,151.1,2708.08
fe.ext_usda.a1064_mg.kg,OSSL,NIR,76,16.63,62.27,90.28,150.64,303.84
fe.ext_usda.a1064_mg.kg,OSSL,VisNIR,0,0,0,0,0,0
fe.ox_usda.a60_w.pct,OSSL,MIR,28259,0,0.09,0.24,0.54,22.27
fe.ox_usda.a60_w.pct,OSSL,NIR,1354,0,0.1,0.21,0.45,3.42
fe.ox_usda.a60_w.pct,OSSL,VisNIR,0,0,0,0,0,0
k.ext_usda.a1065_mg.kg,OSSL,MIR,3772,0,52.47,102.89,200.02,5047
k.ext_usda.a1065_mg.kg,OSSL,NIR,76,0,82.01,147.45,256.33,730.19
k.ext_usda.a1065_mg.kg,OSSL,VisNIR,0,0,0,0,0,0
k.ext_usda.a725_cmolc.kg,OSSL,MIR,57674,0,0.15,0.35,0.73,37.56
k.ext_usda.a725_cmolc.kg,OSSL,NIR,1976,0,0.15,0.35,0.7,11.25
k.ext_usda.a725_cmolc.kg,OSSL,VisNIR,44489,0,0.33,0.67,1.21,51.31
mg.ext_usda.a1066_mg.kg,OSSL,MIR,3773,0,75.33,182,532.77,5608.6
mg.ext_usda.a1066_mg.kg,OSSL,NIR,76,4.53,97.13,346.45,693.75,2153.54
mg.ext_usda.a1066_mg.kg,OSSL,VisNIR,0,0,0,0,0,0
mg.ext_usda.a724_cmolc.kg,OSSL,MIR,57093,0,0.88,2.72,6.4,172.64
mg.ext_usda.a724_cmolc.kg,OSSL,NIR,1976,0,0.68,2.01,4.34,82.14
mg.ext_usda.a724_cmolc.kg,OSSL,VisNIR,3731,0,0.2,1.1,3.4,68
mn.ext_usda.a1067_mg.kg,OSSL,MIR,3772,0,18.1,55.7,120.52,686.6
mn.ext_usda.a1067_mg.kg,OSSL,NIR,76,0.12,39.12,63.46,126.74,334.24
mn.ext_usda.a1067_mg.kg,OSSL,VisNIR,0,0,0,0,0,0
mn.ext_usda.a70_mg.kg,OSSL,MIR,14166,0,0.17,1.03,4.41,9787.33
mn.ext_usda.a70_mg.kg,OSSL,NIR,716,0,0.17,0.86,2.86,143.37
mn.ext_usda.a70_mg.kg,OSSL,VisNIR,0,0,0,0,0,0
n.tot_usda.a623_w.pct,OSSL,MIR,81282,0,0.05,0.12,0.29,41.9
n.tot_usda.a623_w.pct,OSSL,NIR,1976,0,0.07,0.13,0.22,3.02
n.tot_usda.a623_w.pct,OSSL,VisNIR,60570,0,0.11,0.18,0.36,4.9
na.ext_usda.a1068_mg.kg,OSSL,MIR,3616,0,17.1,32.04,58.29,31800
na.ext_usda.a1068_mg.kg,OSSL,NIR,76,3.29,7.27,14.05,56.84,1739.24
na.ext_usda.a1068_mg.kg,OSSL,VisNIR,0,0,0,0,0,0
na.ext_usda.a726_cmolc.kg,OSSL,MIR,57075,0,0,0,0.22,868.36
na.ext_usda.a726_cmolc.kg,OSSL,NIR,1976,0,0,0,0.05,202.96
na.ext_usda.a726_cmolc.kg,OSSL,VisNIR,3715,0,0,0.1,0.3,31.6
oc_usda.c729_w.pct,OSSL,MIR,82573,0,0.38,1.13,3.52,78.45
oc_usda.c729_w.pct,OSSL,NIR,1974,0.02,0.65,1.39,2.71,53.88
oc_usda.c729_w.pct,OSSL,VisNIR,64211,0,0.98,1.88,4.34,78.45
p.ext_usda.a1070_mg.kg,OSSL,MIR,27690,0,2.86,10.47,34.99,24425.23
p.ext_usda.a1070_mg.kg,OSSL,NIR,754,0,3.59,12.68,36.12,1358.9
p.ext_usda.a1070_mg.kg,OSSL,VisNIR,0,0,0,0,0,0
p.ext_usda.a270_mg.kg,OSSL,MIR,7282,0,1.08,4.94,18.94,1436.68
p.ext_usda.a270_mg.kg,OSSL,NIR,266,0,2.83,8.93,21.59,320.35
p.ext_usda.a270_mg.kg,OSSL,VisNIR,0,0,0,0,0,0
p.ext_usda.a274_mg.kg,OSSL,MIR,16084,0,1.82,5.82,17,686.28
p.ext_usda.a274_mg.kg,OSSL,NIR,281,0,2.05,4.27,12.24,623.13
p.ext_usda.a274_mg.kg,OSSL,VisNIR,40764,0,11.1,23.1,43.4,1366.4
ph.cacl2_usda.a481_index,OSSL,MIR,53819,2.14,4.78,5.73,7.23,10.68
ph.cacl2_usda.a481_index,OSSL,NIR,1976,3.23,4.64,5.58,7.04,9.46
ph.cacl2_usda.a481_index,OSSL,VisNIR,40848,2.57,4.4,5.7,7.1,10
ph.h2o_usda.a268_index,OSSL,MIR,59997,1.97,5.33,6.23,7.56,10.7
ph.h2o_usda.a268_index,OSSL,NIR,1976,3.69,5.23,6.17,7.4,9.52
ph.h2o_usda.a268_index,OSSL,VisNIR,44590,3,4.97,6.1,7.45,10.5
s.tot_usda.a624_w.pct,OSSL,MIR,76592,0,0,0.02,0.05,25.24
s.tot_usda.a624_w.pct,OSSL,NIR,1976,0,0,0.01,0.03,18.38
s.tot_usda.a624_w.pct,OSSL,VisNIR,19807,0,0,0.01,0.04,13.12
sand.tot_usda.c60_w.pct,OSSL,MIR,57162,0,12.2,33,60.9,100
sand.tot_usda.c60_w.pct,OSSL,NIR,1976,0.3,17.8,39.2,64.62,100
sand.tot_usda.c60_w.pct,OSSL,VisNIR,27086,0,17,37,60,100
silt.tot_usda.c62_w.pct,OSSL,MIR,57215,0,20.8,37.1,53,256
silt.tot_usda.c62_w.pct,OSSL,NIR,1976,0,22.7,38.1,52.6,87.9
silt.tot_usda.c62_w.pct,OSSL,VisNIR,27139,0,22,37,50,256
wr.1500kPa_usda.a417_w.pct,OSSL,MIR,41345,0.02,6.91,11.59,17.14,244.23
wr.1500kPa_usda.a417_w.pct,OSSL,NIR,1951,0.08,6.36,10.45,14.84,96.14
wr.1500kPa_usda.a417_w.pct,OSSL,VisNIR,971,0.1,12.9,21.9,29.55,56.4
wr.33kPa_usda.a415_w.pct,OSSL,MIR,19459,0.26,17.81,23.68,29.96,2124.87
wr.33kPa_usda.a415_w.pct,OSSL,NIR,1032,1,18.34,23.96,29.66,187.65
wr.33kPa_usda.a415_w.pct,OSSL,VisNIR,923,2.3,22.9,31.4,41.5,71.4
zn.ext_usda.a1073_mg.kg,OSSL,MIR,3760,0,0.56,1.04,1.87,314.72
zn.ext_usda.a1073_mg.kg,OSSL,NIR,76,0,0.84,1.92,3.65,35.95
zn.ext_usda.a1073_mg.kg,OSSL,VisNIR,0,0,0,0,0,0
